_id,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
659f34b2c72de7d60a624041,Kemer,53654,Valid,L4,5760,Fell,2008,36.54194,29.41822,"(36.54194, 29.41822)"
659f34b2c72de7d60a624043,Kendrapara,12276,Valid,H4-5,6669.2,Fell,2003,20.4625,86.70278,"(20.4625, 86.70278)"
659f34b2c72de7d60a62404e,Kidairat,12300,Valid,H6,100000,Fell,1983,14.0,28.0,"(14.0, 28.0)"
659f34b2c72de7d60a624054,Kilabo,12307,Valid,LL6,19000,Fell,2002,12.76667,9.8,"(12.76667, 9.8)"
659f34b2c72de7d60a62405a,Kitchener,12326,Valid,L6,202.6,Fell,1998,43.38333,-80.38333,"(43.38333, -80.38333)"
659f34b2c72de7d60a62405e,Kokubunji,12342,Valid,L6,11510,Fell,1986,34.3,133.95,"(34.3, 133.95)"
659f34b2c72de7d60a62405d,Kobe,12336,Valid,CK4,136,Fell,1999,34.73333,135.16667,"(34.73333, 135.16667)"
659f34b2c72de7d60a62407a,Cumulus Hills 04075,32531,Valid,Pallasite,9.6,Found,2003,,,
659f34b2c72de7d60a624080,Lanxi,12464,Valid,L6,1282,Fell,1986,46.24167,126.19611,"(46.24167, 126.19611)"
659f34b2c72de7d60a624082,Laochenzhen,12466,Valid,H5,14250,Fell,1987,33.13333,115.16667,"(33.13333, 115.16667)"
659f34b2c72de7d60a624089,Leighlinbridge,12759,Valid,L6,271.4,Fell,1999,52.66667,-6.96667,"(52.66667, -6.96667)"
659f34b2c72de7d60a624097,Lohawat,14678,Valid,Howardite,40000,Fell,1994,26.96556,72.62667,"(26.96556, 72.62667)"
659f34b2c72de7d60a624098,Lorton,52843,Valid,L6,329.7,Fell,2010,38.70066,-77.21163,"(38.70066, -77.21163)"
659f34b2c72de7d60a62406c,Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998,42.25,59.2,"(42.25, 59.2)"
659f34b2c72de7d60a6240ae,Magombedze,15387,Valid,H3-5,666.6,Fell,1990,-19.48333,31.65,"(-19.48333, 31.65)"
659f34b2c72de7d60a624061,Košice,53810,Valid,H5,4300,Fell,2010,48.76367,21.17633,"(48.76367, 21.17633)"
659f34b2c72de7d60a6240b2,Maigatari-Danduma,30751,Valid,H5/6,4629,Fell,2004,12.83333,9.38333,"(12.83333, 9.38333)"
659f34b2c72de7d60a6240bf,Maribo,48973,Valid,CM2,25.81,Fell,2009,54.76183,11.46745,"(54.76183, 11.46745)"
659f34b2c72de7d60a624076,La Criolla,12396,Valid,L6,45000,Fell,1985,-31.23333,-58.16667,"(-31.23333, -58.16667)"
659f34b2c72de7d60a6240af,Mahadevpur,47361,Valid,H4/5,70500,Fell,2007,27.66667,95.78333,"(27.66667, 95.78333)"
659f34b2c72de7d60a6240c4,Maromandia,15430,Valid,L6,6000,Fell,2002,-14.2,48.1,"(-14.2, 48.1)"
659f34b2c72de7d60a6240c5,Maryville,15436,Valid,L6,1443,Fell,1983,35.8,-84.1,"(35.8, -84.1)"
659f34b2c72de7d60a6240c7,Mason Gully,53653,Valid,H5,24.54,Fell,2010,0.0,0.0,"(0.0, 0.0)"
659f34b2c72de7d60a6240de,Mifflin,52090,Valid,L5,3584,Fell,2010,42.9075,-90.36556,"(42.9075, -90.36556)"
659f34b2c72de7d60a6240ce,Mbale,15455,Valid,L5/6,150000,Fell,1992,1.06667,34.16667,"(1.06667, 34.16667)"
659f34b2c72de7d60a6240f1,Monahans (1998),16719,Valid,H5,2587,Fell,1998,31.60833,-102.85833,"(31.60833, -102.85833)"
659f34b2c72de7d60a6240e0,Mihonoseki,16635,Valid,L6,6380,Fell,1992,35.56833,133.22,"(35.56833, 133.22)"
659f34b2c72de7d60a6240fc,Morávka,16742,Valid,H5,633,Fell,2000,49.6,18.53333,"(49.6, 18.53333)"
659f34b2c72de7d60a6240fe,Moss,36592,Valid,CO3.6,3763,Fell,2006,59.43333,10.7,"(59.43333, 10.7)"
659f34b2c72de7d60a624116,Nantong,16907,Valid,H6,529,Fell,1984,32.11667,121.8,"(32.11667, 121.8)"
659f34b2c72de7d60a624102,Mount Tazerzait,16804,Valid,L5,110000,Fell,1991,18.7,4.8,"(18.7, 4.8)"
659f34b2c72de7d60a62411a,Neagari,16934,Valid,L6,420,Fell,1995,36.44917,136.46528,"(36.44917, 136.46528)"
659f34b2c72de7d60a62411e,Neuschwanstein,16950,Valid,EL6,6189,Fell,2002,47.525,10.80833,"(47.525, 10.80833)"
659f34b2c72de7d60a624120,New Halfa,16954,Valid,L4,12000,Fell,1994,15.36667,35.68333,"(15.36667, 35.68333)"
659f34b2c72de7d60a624127,New Orleans,16960,Valid,H5,19256,Fell,2003,29.94718,-90.10976,"(29.94718, -90.10976)"
659f34b2c72de7d60a62412f,Noblesville,16985,Valid,H4-6,483.7,Fell,1991,40.08528,-86.055,"(40.08528, -86.055)"
659f34b2c72de7d60a624130,Ningqiang,16981,Valid,C3-ung,4610,Fell,1983,32.925,105.90667,"(32.925, 105.90667)"
659f34b2c72de7d60a624151,Orlando,34489,Valid,Eucrite,180,Fell,2004,28.5475,-81.36222,"(28.5475, -81.36222)"
659f34b2c72de7d60a624158,Ouadangou,56729,Valid,L5,4440,Fell,2003,12.9,0.08,"(12.9, 0.08)"
659f34b2c72de7d60a624159,Oued el Hadjar,18050,Valid,LL6,1215.5,Fell,1986,30.18,-6.57717,"(30.18, -6.57717)"
659f34b2c72de7d60a62415b,Ourique,18052,Valid,H4,20000,Fell,1998,37.60833,-8.28,"(37.60833, -8.28)"
659f34b2c72de7d60a62415a,Oum Dreyga,31282,Valid,H3-5,17000,Fell,2003,24.3,-13.1,"(24.3, -13.1)"
659f34b2c72de7d60a624163,Palca de Aparzo,18074,Valid,L5,1430,Fell,1988,-23.11667,-65.1,"(-23.11667, -65.1)"
659f34b2c72de7d60a624167,Dominion Range 03239,32591,Valid,L6,69.5,Found,2002,,,
659f34b2c72de7d60a62416c,Park Forest,18106,Valid,L5,18000,Fell,2003,41.48472,-87.67917,"(41.48472, -87.67917)"
659f34b2c72de7d60a62417a,Pê,18179,Valid,L6,,Fell,1989,11.33367,-3.54217,"(11.33367, -3.54217)"
659f34b2c72de7d60a62417c,Peekskill,18782,Valid,H6,12570,Fell,1992,41.28333,-73.91667,"(41.28333, -73.91667)"
659f34b2c72de7d60a624183,Pétèlkolé,18800,Valid,H5,189,Fell,1995,14.052,0.42,"(14.052, 0.42)"
659f34b2c72de7d60a624195,Dominion Range 03240,32592,Valid,LL5,290.9,Found,2002,,,
659f34b2c72de7d60a62418b,Piplia Kalan,18831,Valid,Eucrite-mmict,42000,Fell,1996,26.03472,73.94167,"(26.03472, 73.94167)"
659f34b2c72de7d60a62419b,Portales Valley,18874,Valid,H6,71400,Fell,1998,34.175,-103.295,"(34.175, -103.295)"
659f34b2c72de7d60a6241a2,Puerto Lápice,45984,Valid,Eucrite-br,500,Fell,2007,39.35,-3.51667,"(39.35, -3.51667)"
659f34b2c72de7d60a624191,Pleşcoi,51706,Valid,L5-6,6913,Fell,2008,45.275,26.70972,"(45.275, 26.70972)"
659f34b2c72de7d60a6241ab,Quija,22361,Valid,H,17450,Fell,1990,44.61667,126.13333,"(44.61667, 126.13333)"
659f34b2c72de7d60a6241ad,Raghunathpura,22371,Valid,"Iron, IIAB",10200,Fell,1986,27.72528,76.465,"(27.72528, 76.465)"
